price_of_the_bottle
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
235
92
120
180
120
335
83
106
158
769
305
180
115
118
320
105
83
310
134
340
150
105
120
105
120
150
155
88
170
125
105
485
237
74
167
160
101
105
170
105
105
83
196
158
105
170
180
105
120
55
289
175
105
345
145
