medicine_name
SBL Saccharum Lactis Dilution 200 CH
LDD Bioscience Passiflora Incarnata Mother Tincture Q
LDD Bioscience Ashwagandha Mother Tincture Q
SBL Veratrum Album Dilution 12 CH
LDD Bioscience Kalmegh Mother Tincture Q
SBL Arnica Montana 0/26 LM
Dr. Reckeweg Pyrogenium Dilution 200 CH
LDD Bioscience China Officinalis Mother Tincture Q
Wheezal WL32 Renal Pain Drop
REPL Dr. Advice No.61 Liver Troubles Drop
SBL Jacaranda Caroba Mother Tincture Q
SBL Arsenicum Album 0/22 LM
LDD Bioscience Hydrastis Canadensis Mother Tincture Q
Bjain Cucurbita Pepo Mother Tincture Q
Pioneer Pharma P21 Rheumatic Drop
LDD Bioscience Guatteria Gaumeri Plus
SBL Argentum Phosphoricum Dilution 12 CH
SBL Thallium Metallicum Dilution 1000 CH
LDD Bioscience Berberis Aquifolium Mother Tincture Q
ADEL Kalmia Lat Dilution 30
ADEL Fucus Ves Mother Tincture Q
LDD Bioscience Syzygium Jambolanum Mother Tincture Q
SBL Sticta Pulmonaria Dilution 30 CH
Dr Willmar Schwabe Germany Nux Moschata (Myristica Fragrans) Dilution 30
LDD Bioscience Ginseng Mother Tincture Q
Allen's Livosin Total Tonic
Bjain Mercurius Solubilis Dilution 30C
LDD Bioscience Mother Tincture Phytolacca Berry Q
Dr. Reckeweg Hypericum Per Dilution 200 CH
Dr Willmar Schwabe India Cobaltum Metallicum Dilution 1000 CH
LDD Bioscience Sabal Serrulata Mother Tincture Q
SBL Dolichos Dilution 1000 CH
Dr Willmar Schwabe Germany Natrum Muriaticum Dilution 30
LDD Bioscience Berberis Vulgaris Mother Tincture Q
SBL Ranunculus Bulbosus Dilution 6 CH
Dr Willmar Schwabe India Santoninum Dilution 6 CH
LDD Bioscience Arnica Montana Mother Tincture Q
Dr Willmar Schwabe India Natrum Bicarbonicum Dilution 30 CH
Bakson's Homeopathy Thyroidinum Dilution 30 CH
LDD Bioscience Chelidonium Majus Mother Tincture Q
Bjain Dulcamara Dilution 1000 CH
Bakson's Homeopathy Paraffinum Dilution 1000 CH
LDD Bioscience Janosia Ashoka Mother Tincture Q
Bakson's Homeopathy Ptelea Trifoliata Dilution 30
Dr. Majumder Homeo World Abroma Radix Dilution (30 ml Each) 6 CH
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 30
Rxhomeo Apis Mel 30C
Dr. Reckeweg Kali Bichrom Dilution 30 CH
Dr Willmar Schwabe India Kousso Dilution 6 CH
Bjain Acidum Phosphoricum Dilution 12C
Bjain Ocimum Canum Dilution 6 CH
Hapro Rhus Tox Dilution 1M
Bakson's Homeopathy Abies Nigra Dilution 50M
Bakson's Homeopathy Aurum Arsenicicum Dilution 1000
Dr. Reckeweg Eupatorium Perf Dilution 200 CH
LDD Bioscience Acid Carb Dilution 30 CH
Wheezal Borax Globules 0/26 LM
Bjain Apocynum Cannabinum Globules 0/28 LM
