medicine_name
REPL Dr. Advice No. 112 Metrical-D
Wheezal Cimicifuga Racemosa Globules 0/17 LM
Boericke Abrus Precatorius Dilution (30ml Each) 6
Bjain Apium Graveolens Dilution 6C
Happy Chords Syrup
Dr Willmar Schwabe India Radium Bromide Dilution 10M CH
Bakson's Homeopathy Galega Officinalis Dilution 200
Dr. Reckeweg Acid Nitricum Dilution 1000 CH
SBL Pinus Sylvestris Dilution 30 CH
Bakson's Homeopathy Citrus Limonum Dilution 10M
Adven Ad-Liv Tonic
Adven A-126 Pancreatic Drop
St. George’s Wart Q Nil Drop
SBL Embelica Officinalis Dilution 6 CH
Bjain Graphites Trituration Tablet 3X
Wheezal Asparagus Officinalis Dilution 30
Sett Dey Calcarea Sulphuratum Dilution 30
LDD Bioscience Cannabis Sativa Dilution 6 CH
Rxhomeo Natrum Phosphoricum Pellets 30C
LDD Bioscience Kali Arsenicosum Dilution 30 CH
Bjain Nux Vomica Globules 0/18 LM
Bjain Cuprum Metallicum Globules 0/6 LM
Allen's Alfa Allen Tonic
LDD Bioscience Mercurius Dulcis Dilution 30 CH
Bjain Cactus Grandiflorus Globules 0/8 LM
Bjain Dulcamara Globules 0/28 LM
Bjain Collinsonia Canadensis Globules 0/3 LM
Bakson's Homeopathy Taraxacum Mother Tincture Q
Lord's Kali Phos Biochemic Tablet 200X
Dr Willmar Schwabe India Agaricus Muscarius Dilution 200 CH
SBL Lycopodium Clavatum Dilution CM CH
SBL Solanum Xanthocarpus Dilution 200 CH
SBL Viola Odorata Dilution 1000 CH
Bjain Calcarea Silicata Globules 0/4 LM
Dr. Majumder Homeo World Apocynum Cannabinum Dilution (30 ml Each) 200 CH
Bjain Collinsonia Canadensis Globules 0/14 LM
Bjain Collinsonia Canadensis Globules 0/7 LM
Lord's Thiosinaminum Trituration Tablet 3X
SBL Argentum Phosphoricum Dilution 6 CH
SBL Folliculinum Dilution 30 CH
Bjain Bacopa Monnieri Dilution 3X
Dr. Majumder Homeo World Apocynum Cannabinum Dilution (30 ml Each) 30 CH
Dr. Reckeweg R22 Nervous Disorders Drop
Dr Willmar Schwabe India Taraxacum Officinale Dilution 3X
Dr. Majumder Homeo World Bromium(30ml Each) CM
Wheezal Caulophyllum Thalictroides Globules 0/19 LM
Pioneer Pharma Dioscorea Villosa Pellets 1000 CH
Wheezal Alstonia Constricta Dilution 6
Wheezal Aesculus Hippocastanum 0/21 LM
Combo Pack of Dr. Reckeweg Berberis Vul Mother Tincture Q & Dr. Reckeweg Hydrangea Mother Tincture Q (20ml Each)
LDD Bioscience Glonoinum Dilution 1000 CH
Bakson's Homeopathy Chloroformum Dilution 10M
SBL Lycopodium Clavatum 0/2 LM
Bjain Vipera Berus Dilution 30 CH
Haslab Digesto Syrup
Bio India Bach Flower Rock Water
Sett Dey Malandrinum Dilution 6
Medisynth Antimonium Crudum Dilution 200
Pioneer Pharma Camphora Globules Pellets Multidose Pills 200 CH
Bakson's Homeopathy Lecithinum Dilution 10M
Dr Willmar Schwabe India Parthenium Dilution 1000 CH
Dr Willmar Schwabe India Cocculus Indicus Mother Tincture Q
Dr Willmar Schwabe India Bio-Combination 01 (BC 01)Tablet
Wheezal Agaricus Muscarius 0/9 LM
SBL Nux Vomica Dilution 30 CH | Stomach Care Dilution 200 CH
Wheezal Mutha Dilution 30
Wheezal Guaiacum Dilution 1M
LDD Bioscience Ignatia Amara Dilution 1000 CH
LDD Bioscience Kali Mur Dilution 1000 CH
Hapro Pulsatilla Nigricans Dilution 1M
Dr Willmar Schwabe India Ferrum Magneticum Dilution 1000 CH
Sett Dey Terminalia Chebula (Haritaki) Mother Tincture
Medisynth Vanadium Metallicum Dilution 200
Sett Dey Sanguinaria Can Mother Tincture
Combo Pack of SBL Syzygium Jambolanum Mother Tincture Q & SBL Gymnema Sylvestre Mother Tincture Q (30ml Each)
Bjain Natrum Muriaticum Globules 0/22 LM
ADEL Ledum Pal. Dilution 6
Bakson's Homeopathy Gambogia Dilution 6 CH
Dr. Reckeweg Aesculus Hippocastanum Dilution 30 CH
Bjain Thalapsi Bursa Pastoris Dilution 1000 CH
Bjain Cocculus Indicus Dilution 1000 CH
Bjain Lappa Major Dilution 30C
