Key Ingredient,Average Cost
Extract of tylophora indica,296
Extracts from leaves of Aegle folia,1560
Extracts from sticta pulmoniaria plant,105
Extracts from the Croton Tiglium plant,170
Extracts from the crotalus cascavella plant,93.4
Extracts from the vegetable of the plant hyoscyamus niger,74.7
Extracts from vegetable of plant Hyoscyamus niger,110
Extracts of European wind flowering plant,170
Extracts of broom plant flowers,150
Extracts of mugwort plant,145
Extracts of quinine bush or bitterbark,176.45
Extracts of whole blooming hypericum plant,161
Extracts of whole blooming hypericum plant.,150
Fel Tauri,105
Ferr. phos. 3x,280
Ferrum Bromatum,135
Ferrum Magneticum,149
Ferrum Phosphoricum,699
Ferrum phos,113
Ferrum phos.3x,521
Ferrum phosphoricum - 3x,92.2
Ferrum phosphoricum,92.3
Ferrum phosphoricum,631
Ferrum sulphuricum,302
Ficus indica,184
Folliculin,105
Formica Rufa,180
Fresh bark of pricky ash plant,120
Fucus vesiculosus with alcohol,283
Galega Officinalis Dilution,107
Gambogia,93.4
Gelsemium Sempervirens,174
Geranium Maculatum Extract,293
Ginseng,353.95
Glechoma Hederacea,149
Glonoinum,336.5
Gnaphalium Polycephalum,86.5
Gossypium Herbaceum,201.65
Granatum,129.6125
Graphites,136
Graviola Officinalis,235
Guaiacum,105
Guarea trichiloides,120
Guatteria Gaumeri,307
Guatteria gaumeri,260
Hamamelis Virginica,334.5238095
Hamamelis virginica,174.9
Harungana Madagascariensis,104
Hekla Lava,174
Helianthus annus with alcohol,105
Helleborus Niger,105
Helonias Dioica,722
Histamine Hydrochloride,110
Homeopathic Formulation,180.4761905
Homoeopathic Ingredients,195
Hydrangea Arborescens,586
Hydrangea Arborescens,105
Hydrocotyle Canadensis,550
Hygrophila auriculata,105
Hypophysine,105
Ignatia Amara,223
Ignatia amara,74.7
Indigo,105
Insulinum,222.8571429
Iodium With Alcohol,255
Iodium with alcohol,185
Ipecacuanha,148
Ipecacuanha,126.35
Iris Vers,168
Iris versicolor,230
Jaborandi,198
Jalappa,223
Janosia,190
Justicia adhatoda,170
Kali Arsenicosum,137.4
Kali Bromatum,160
Kali Chloricum,83
Kali Iodatum,170
Kali Muriaticum,223
Kali Phosphorica,715
Kali Sulphuricum,107.85
Kali mur,90
Kali phos,230
Kali phosphoricum,74.7
Kali sulphuricum,200
Kalium iodatum,74.7
Kalium muriaticum - 3x,92.2
Kalmegh,206.5
Kalmia latifolia,155
Kousso,105
Kreosotum (Beechwood Tar),145
Kreosotum,100
Lac Caninum,155
Lac vaccinum,93
Lachesis 30x,157
Lachesis,124.2857143
Lactose,110
Lappa major,60
Lathyrus,320
Laurocerasus,160
Lecithin 1X,140
Lecithinum,210.5
Ledum palustre,144
Lemna Minor,105
Lespedeza Sieboldii Dilution,125
Lilium Tigrinum,72
Lithium Benzoicum,296
Lupulus,119
Lycopersicum Esculentum,108
Lycopodium Clavatum,208.3333333
Magnesium Phosphoricum,335
Malandrinum,105
Manganum acetium,215
Melilotus Alba,150
Melilotus Officinalis (Yellow sweet clover),165
Menyanthes Trifoliata,255
Mercurius Dulcis,135
Mercurius Iodatus Flavus,490.25
Mercurius Solubilis,138
Mercurius dulcis,92.2
Mercurius praecipitatus ruber,296
Mercurius sulphuricus,49.7
Moschus,110
Mygale lasiodora,230
Myrica Cerifera,105
Naja trip,285
Naja tripudians with alcohol,145
Naphthalinum,87
Nasturtium,110
Natrium Sulphuricum,290
Natrum Bicarbonicum,104
Natrum Causticum,374
Natrum Muriaticum,114.1666667
Natrum Phosphoricum 3x,105
Natrum Sulphuricum,460.6666667
Natrum muriaticum,109.5666667
Natrum phosphoricum 3x,115
Natrum phosphoricum,96
Natural Minerals,138
Natural extracts of Salvia,217
Niccolum Sulphuricum,92.9
Nosode (bovine TB),112.5
Ntural Spring water,243
Nuphar lutea,167
Nux Moschata,332.3809524
Nux Vomica,100.9761905
Nux Vomica,150
Nux vomica,74.7
Ocimum Canum,49.7
Ocimum SancQ,100
Ocimum sanctum,49.7
Onosmodium Virginianum,170
Origanum Majorana,108
Paeonia,145
Paraffinum,131
Paris Quadrifolia,255
Parthenium Chrysanthemum,149
Passiflora Incarnata (whole passion flower plant,120
Passiflora Incarnata,275
Peppermint,164
Pertussin,150
Petroleum,182
Petroselinum sativum,93.4
Phenolphthalein 1x,177
Phosphoric Acid,83.5
Phosphoricum Acidum 6x,130
Physostigma Q,282
Phystolacca Decandra,125
Phytolacca Berry Q,320
Phytolacca berry q,126
Picric acid,100
Picrotoxinum,335
Pinus lamb.Ø,305
Piper methysticum,231
Piper nigrum,100.95
Pituitarum posterium,329
Pix Liquida,135
Plant extract of Indian hemp,357.5
Plant extract of bryophyllum,1031
Plant extract of scots pine,105
Plant of cynadon,92
Plantago Q,100
Plantago,177
Platanus,105
Platinum Metallicum (Platinum),195
Plumbum Metallicum (Metallic Lead),170
Plumbum Metallicum,85
Podophyllinum,135
Ptelea Trifoliata,93.9
Puff Ball,196.5
Pulsatilla Nigricans,93.9
Pulsatilla nigricans,109
Pyrogenium,145
Quercus Glandium Spiritus,125
Quinine Salicylate,104
Ranunculus Bulbosus,96
Ratanhia,300
Red Chestnut,146
Refer To Label,163
Rhamnus,126
Rhododendron Chrysanphum,64.8
Rhus Aromatica,120
Rhus Toxicodendron,154.5
Rhus Venenata,105
Robinia pseudocacia,150
Rock Rose,210
Sabal Serrulata,172
Sabal Serrulata,120
Sabina,170.1904762
Sanguinaria can.,145
Sanguinaria canadensis,74.7
Sanicula,450
Santonica,105
Sarsaparilla,170
Sarsaparilla,74
Sarsaparilla,120
Satphysagria Seeds,145
Saw Palmetto,132
Scrophularia Nodosa,167
Senecio Aureus,93.4
Senega,150
Silicolfluoride of calcium,195.3333333
Silicon Dioxide,695
Silicon dioxide,517
Sinapis Nigra,92.9
Skookum chuck,180
Slaked lime,158
Sodium Palmate,55
Solanum Lycopersicum,97
Solanum Xanthocarpum (Black nightshade),120
Sonapata (Cassia Angustifolia),120
Spongia Tosta,329
Stannum metallicum,140
Stellaria media,92.2
Sticta pulmonaria,296
Strychnium,131
Sucrose,120
Sugar of milk,260
Sugar of milk,120
Sulphanilamide,105
Syzgium Jambolanum,162
Syzygium Jambolanum,207.5
Syzygium jambolanum,110
Taraxacum officinale (common dandelion),125
Taraxacum,113
Terminalia Arjuna,101
Terminalia chebula,68
Tetanus Nos.,329
Thallium Metal,150
Thallium,180
The formulation can help provide relief from acidity and indigestion,174
Thiosinaminum trituration,146
Thlaspi Bursa Pastoris,124.5
Thuja Occidentalis,141.2564103
Thuja occidentalis 10% w/w,74
Thuja,165
Thyroid gland of the sheep,769
Thyroidinium,150
Thyroidinum 3X,168
Trillium Pendulum (root of white beth plant),180
Tuberculinum Bovinum,264
Turpentine oil,220
Turpentine,184
Ulmus fulva,328
Uranium nitricum,180
Vanadium,105
Vegetable charcoal,112.5
Veratrum Album,105
Verbena Officinalis,93
Viburnum opulus,93.9
Viola plant with alcohol,178.5714286
Vipera Aspis,92
Vipera berus,180
Vitamin D 32,173
Walnut,131
Xerophyllum ( A type of Plant),150
Zincum Phosphoricum,92.2
Zincum cyanatum with alcohol,120
ichromate of Potash,725
Natrum Mure 6 Calc Phos 6,
