_id,count
Nux Vomica,42
Barium,40
Iodine,40
Vegetable charcoal,40
Thuja Occidentalis,39
Belladonna,29
Natrum Muriaticum,24
Chelidonium Majus,22
Calcarea Phosphorica,22
Bryonia Alba,22
Homeopathic Formulation,21
Sabina,21
Hamamelis Virginica,21
Naphthalinum,21
Allium Sativum,21
Bulb of the onion,21
Apis mellifica with alcohol,21
Arnica Dilution,21
Arsenicum Album,21
Nux Moschata,21
